tier,rank,puuid,queueType,region,sub_region,division
IRON,III,Xim9thRYGV5wpy1XQFMVGrFdWVk_jMrFRMGkudRNmdcWIQSsr_QtQR3tb_3krlbor2wFOoLMUpRuMA,RANKED_SOLO_5x5,europe,eun1,IRON_III
IRON,IV,3ka_ecnvdNgEfcxxiBUUz_H6OZmZ21r6a7irE0D7M95xHBzNHW-kJ7DW60Uufk0kfzrPQcz1u1fh_A,RANKED_SOLO_5x5,europe,eun1,IRON_IV
IRON,IV,ZceuHs2ELMB76VCEeGz_zpKWjuw0B3wA_MHaJCej2InmQC3PiNPlBJIYMReODGbvcthIwQZJNSIP5g,RANKED_SOLO_5x5,europe,eun1,IRON_IV
IRON,IV,hjPJhp3W5Fg9QcOICPtg0goOatJwDGMgW9CExu6JkcRX3Rc84Sc8LrhXNgYn_iPCfTCTZ50_WGXMMw,RANKED_SOLO_5x5,europe,eun1,IRON_IV
IRON,IV,qDg4lyD9a-eqgMJ5TfkQDwxkylZ2PoMukrj2WNXUCHGOXTctxCu9r3BlktQ0ple1iDMIRpW8RnsveQ,RANKED_SOLO_5x5,europe,eun1,IRON_IV
IRON,IV,OxU3AAuXniDsoDv2q7SAAvU8l7PT3HMQdaq9peWHg2opGvvhG8JTzWHu9DpiwAyaN_gwhA6u4VAt3Q,RANKED_SOLO_5x5,europe,eun1,IRON_IV
IRON,IV,r-YAYTgprUeh8NcaHGl5bbmRQvZQwG7_Tmj37kpAdN7qLQq5MhenI8qSB7aCfKKE3EdlO9YCCLy65Q,RANKED_SOLO_5x5,europe,eun1,IRON_IV
IRON,IV,_nwGQGivYlB8W3h-c5oMNvCU0oXULgsNU0iBOJDhFLsLB4l7HVhl5PBR5Vbw6IPzQlgNuZIkJ_XdsQ,RANKED_SOLO_5x5,europe,eun1,IRON_IV
IRON,IV,kZOqomMP1-YI9ko8zboeUG_j7G6HeDifYicnjQazeuyVEzNg3jY5otv-vAKLI1teu9WkaVdvdGnZmA,RANKED_SOLO_5x5,europe,eun1,IRON_IV
IRON,IV,JxmFd6IVzlIlgCIXq1moHgS-EiVj8siT9LJHITiDUZbd-Z13X7ApURP4OkVTKdlwzG4jmEFU-D7WFQ,RANKED_SOLO_5x5,europe,eun1,IRON_IV
IRON,IV,hSmEK_P31wcVgCtVH3_aRtpCqv1OUMwAgchcvgVBOGKh8wdaiTDyhBTmxFwgL-QQ2_ZEEtSaStoHKA,RANKED_SOLO_5x5,europe,eun1,IRON_IV
BRONZE,I,30B0XafHTwZu2-6V3IH-wxLAJmHruuy4IuJNkze0TUZZbAI3cvOAc98z_-KO_08JomjPR6egkY1R8w,RANKED_SOLO_5x5,europe,eun1,BRONZE_I
BRONZE,I,u4swS026nDkujCGzRQfeMH0aIwp3NK9PyEvPNUs81fWzcIPhihTrpQ8Wz9v4MuTVvvzso5vYlBYHlA,RANKED_SOLO_5x5,europe,eun1,BRONZE_I
BRONZE,I,smBXcfzz9aKCzLcYG8fRDvB62lQx7m7WE9-3Hlw0x_i6_NDbhPHukZjvA2EP5iGzMTmIOciu_n5zDw,RANKED_SOLO_5x5,europe,eun1,BRONZE_I
BRONZE,I,sEB5L_DSDZkDQyDF64f7HSNlo8vGgt4DHJJ6L5s79leq-Me-zsERCjLHL85Fv0BuQJ2tUxuRrnpTEA,RANKED_SOLO_5x5,europe,eun1,BRONZE_I
BRONZE,I,oajh7Psua48ff2xzzHMVkWdydfywbicbHMYutGC3U5I6Z9538_S5XEJmI-PYaJXsSTigHFaQ1FMHQA,RANKED_SOLO_5x5,europe,eun1,BRONZE_I
BRONZE,I,EffCccZ0NxieV-mhylqGwPpDlfC2LKxU3qOHR48ka44EN4QDTYUDQ-VpvHI6tJOj675sJUWCrwRokw,RANKED_SOLO_5x5,europe,eun1,BRONZE_I
BRONZE,I,tljfrx_46s7jYTI5mL-l_zJZza8onQW78jBmml3_Mx4-6dHSHGupkgpPRlc_1ptAKnFwA8jzr9Wfpw,RANKED_SOLO_5x5,europe,eun1,BRONZE_I
BRONZE,I,lxhJwKNhzNiOoVNxEqd01Ps15j7dhfFLkIdfX631jzf286YEmCHOR_TflRZ06WUz4sqPbf0RCWDh3w,RANKED_SOLO_5x5,europe,eun1,BRONZE_I
BRONZE,I,pEiFhgz0BOA9-GRU2eBpH1bt353y8ToOwUzdUYBDdZQVepRUSeKys1dgCCgubu07IEjlybmgiwLIiw,RANKED_SOLO_5x5,europe,eun1,BRONZE_I
BRONZE,I,a21HUG2fm5fNaAzsnTOqu4AerFx9FWBKTlmRNb9qtprndUDypAXHIGQJO4sH1ebggv907M57uDergw,RANKED_SOLO_5x5,europe,eun1,BRONZE_I
BRONZE,II,WqoCU2I1KjitlLnUNxz6LknnSlzlNySg2OFQMiDfecBySx_TSPrKZl-Wp1ubGieasCNcyhvfd3VRnA,RANKED_SOLO_5x5,europe,eun1,BRONZE_II
BRONZE,II,ev6GkcFWxosrujlhxwyNlUIimr5w1frnN0BHskyLMdj_uMeHICP5ogb-AEz0n3TojOwSRsa57JlCBg,RANKED_SOLO_5x5,europe,eun1,BRONZE_II
BRONZE,II,8kWtT2i4yvS8rnkuAXHSXX-Skc82RIxVgM6b8ylhNDXnT8zPSIN6nO75AC83tRsJtL3w_rh324CO3Q,RANKED_SOLO_5x5,europe,eun1,BRONZE_II
BRONZE,II,fwMnEBDTpCJPlj3JKWYcDXoztYX-6QUDzKlBlg18ym4Aa-ALQPRiJxzMJPiC_8dLH4GMB6v1kAUq5g,RANKED_SOLO_5x5,europe,eun1,BRONZE_II
BRONZE,II,7QU6kwoccWcYHeCaXuIHsNIZKUGIrkoqY0wxyR1wa3U3ffLVJMPHy1X7r1b4M9RSslKfkxDwpxNHQA,RANKED_SOLO_5x5,europe,eun1,BRONZE_II
BRONZE,II,rcHxyXqNot-WqZYs55kNBY3Zf9fEWvY7qB5Isrv3nIWb3kwN6LvfuZwcgN1QsFjjPkEPReUC0fhYow,RANKED_SOLO_5x5,europe,eun1,BRONZE_II
BRONZE,II,2Y5v0DwJC-NNP2dDYEP2NxkCAcmWhgzITrLFtbOHuqxxUZOpOhNY0V6IfZBIwXOPn70pZcAw_vEtXA,RANKED_SOLO_5x5,europe,eun1,BRONZE_II
BRONZE,II,wbDSNwXn82yxvp0aVho_SoLE4lEwIfAJOedgogUl0wIHs_BzzETCCJMAaGU3V4TuCgshsvzEeRcCSQ,RANKED_SOLO_5x5,europe,eun1,BRONZE_II
BRONZE,II,9Rt0vRnlIlYaJ1uTlkXhUnnrWZMxd3ZCVaRJV94lQvlbNgP0DcIDkGa1xL5-t253wxMwEzg_GgwW1A,RANKED_SOLO_5x5,europe,eun1,BRONZE_II
BRONZE,II,PIM9RYAVe6c4nP5QeLuSSbUAvyt9xKlZhYgZosmAEyW4LKxJ6GlStcTrSFuBrB_VKeNZoex6XuIinw,RANKED_SOLO_5x5,europe,eun1,BRONZE_II
